Indonesian,Minangkabau
klik,takan
klub,binal
klub,kalompok
klub,klub
klub,klup
klub,regu
kode,kode
kode,tando
koki,koki
kolam,kulah
kolam,tabek
kolam,tambak
kolonel,kolonel
komandan,kumandan
komisi,komisi
komisi,kumisi
komisi,tukang pareso
komisi,uang imbalan
komisi,upah
kompas,padoman
kompetisi,cak pasaingan
kompetisi,kompetisi
kompetisi,patandiangan
kompetitif,kompetitif
kompleks,kalompok
kompleks,komplek
komponen,bagian-bagian
komputer,komputer
komunikasi,parubuangan
komunis,kuminih
kondisi,kaadaan
koneksi,koneksi
konfirmasi,konfirmasi
konflik,pasalisiahan
konflik,patangkaran
konsentrat,pupuak
konstan,mantap
konsultan,panasiaik
kontak,basobok (jo)
kontak,kontak
kontes,kontes
kontinu,kontinu
kontrak,pajanjian
kontraktor,andema
kontraktor,pamborong
konyol,andia
konyol,konyol
konyol,lawak
konyol,"lawak, konyol"
konyol,lucu
konyol,olok-olok
konyol,sia sia
konyol,sio sio
konyol,sio-sio
konyol,yang indak-indak
kopi,caffea
kopi,kopi
koran,surek kaba
korban,karoban
korban,korban
korek,giriak
korek,pancukia
kostum,pakaian kusuih
kota,kota
kotak,kotak
kotak,sagi ampek
kotak,sambang kotak
kotor,kotoh
kotor,kumua
kotor,kumuah
kotor,kumuh
kotor,ladah
kotor,loda
kotoran,kotoran
kreatif,punyo dayo pikia
kredit,ansuran
kredit,karidik
kriminal,kajahatan
kriterium,kriterium
ksatria,kasatria
kuantitas,kuantitas
kuat,kuaik
kuat,kuek
kubur,kubua
kubur,tanam
kuburan,kuburan
kucing,kuciang
kuda,kudo
kue,kue
kuharap,baarok
kuharap,den arok
kuharap,den harok
kuharap,den-harok
kuharap,denarok
kuharap,denharok
kuharap,kuarok
kuharap,kuharok
kuharap,mengharok
kuharap,wak harok
kuharap,wak'arok
kuku,kuku
kuliah,kuliah
kulihat,aden caliak
kulihat,adencaliak
kulihat,den caliak
kulihat,den liek
kulihat,den-caliak
kulihat,dencaliak
kulihat,denliek
kulihat,ku liek
kulihat,kuliek
kulihat,mencaliek
kulihat,wak'caliak
kulit,jangek
kulit,kulik
kulkas,kulkas
kultural,kultural
kumbang,kumbang
kumis,kumih
kumis,sisunguik
kunci,kunci
kuncinya,kuncinyo
kunjungan,kunjiiangan
kunjungan,siarah
kuno,"""kuno"
kuno,jadul
kuno,kuno
kuno,lamo
kuno,usang
kurang,kuang
kurang,"kughang, kurang"
kurang,kurang
kurang,sayuik
kursi,"kaduduakan, jabatan"
kursi,kurisi
kurung,lingakaran
kurung,lingkuang
kurung,tando kuruang
kurus,kuruih
kutipan,nan baambiak
kutukan,kiparaik
kutukan,kutuak
laba-laba,lawah
laboratorium,laboratorium
laboratorium,tampek pacobaan
laboratorium,tampek panalitian
labu,kundua
labu,labu
laci,lacih
lagi,lagi
lagu,lagu
lagu,parangai
lagu,tingkah laku
lahir,lahia
lahir,lahie
lahir,lahier
lainnya,lain nyo
lainnya,lainnyo
lajang,alun panah babini
lajang,bujang
lajang,lajang
laki,jantan
laki,kilaki
laki,laki
laki,lalaki
lakukan,buek
lakukan,buek an
lakukan,buekkan
lakukan,bueklah
lakukan,karajoan
lakukan,kerajoankan
lakukan,korjoan
lakukan,lakuan
lalat,langau
lalu,lah sudah 
lalu,lalu
lalu,tu
lalu,tu ba'a
lalu lintas,lalu linteh
lambang,lambang
lambat,lambek
lambung,lambuang
lampu,dama
lampu,lampu
landasan,aleh
landasan,dasar
landasan,landasan
langit,langik
langkah,langkah
langkah,langkoh
langsung,langsuang
langsung,langsuong
langsung,lansuang
lanjutkan,lanjuik an
lanjutkan,lanjuik'an
lanjutkan,lanjuikan
lanjutkan,lanjuikkan
lanjutkan,taruihkan
lanjutkan,taruikan
lantai,lantai
lantai,tingkek
lapangan,lapangan
lapangan,"medan, gelanggang"
lapangan,tanah lapang
lapar,lapa
lapar,litak
laporan,laporan
laporan,pengaduan
laptop,laptop
lari,lari
latar belakang,latar balakang
latihan,latiahan
lauk,samba
laut,lauik
lautan,lauik
lautan,lautan
lawan,lawan
lawan,musuah
lawan,tandiangan
layak,layak
layak,pantaih
layak,pantas
layak,panteh
layak,patuik
layanan,gabehi
layanan,ladenan
layanan,layanan
layar,layia
lebah,labah
lebih,balabiah
lebih,labiah
lebih,labieah
lebih,labieh
lebih,lobiah
lebih baik,labiah elok
lebih buruk,labiah buruak
lebih lanjut,labiah lanjuik
lebih suka,labiah suko
ledakan,latuih
ledakan,latusan
ledakan,ledak
legenda,carito rakyaik dulu
legenda,legenda
leher,lihia
lelah,latiah
lelah,latieh
lelah,lotih
lelah,panek
lelah,ponek
lelaki,laki-laki
lelang,lelang
lelucon,lawak
lelucon,manggalian paruik
lemah,lamah
lemah,lameh
lemah,lomah
lemah,lomeh
lemah lembut,lamah lambuik
lemari,lamari
lembar,alai
lembar,banang
lembaran,alaman
lembaran,lembaran
lembu,sapi
lemon,limau
lemparan,ampokan
lemparan,baean
lengan,langan
lengket,lengket
lengkung,lingkuang
lensa,lensa
lepas,lape
lepas,lapeh
lepas,lapehan
lepas,lopeh
lepaskan,lapean
lepaskan,lapeh an
lepaskan,lapehan
lepaskan,lapehkan
lepaskan,lopehkan
lesbian,lisbian
lesbian,padusi homoseks
letakkan,lataan
letakkan,latak an
letakkan,latak'an
letakkan,latakan
letakkan,latakkan
letakkan,tarokan
lewat,lalu
lewat,lewaik
lewat,lewat
lewat,liwaik
lewat,liwek
lezat,lamak
liburan,balibur
liburan,pakansi
liburan,perai
lihat,caliak
lihat,caliek
lihat,liek
lihat,tengok
lihatlah,caliakla
lihatlah,caliaklah
lihatlah,calieklah
lihatlah,liek lah
lihatlah,lieklah
lihatlah,liheklah
lima,limo
limabelas,mobaleh
limapuluh,mopuluah
limbah,limbah
lincah,lincah
lingkaran,lingkaran
lingkungan,golongan
lingkungan,lingkuangan
lingkungan hidup,lingkuangan hiduik
lintasan,jalan nan dilinteh
lintasan,panyubarangan
lipan,sipasan
lipstik,gincu bibia
lipstik,lipsitik
lisensi,lisensi
listrik,listirik
logam,logam
logis,masuak aka
lokasi,latak
lokasi,tampaik
lomba,patandiangan
lompatan,lompek
lonceng,lonceang
longgar,longga
lorong,jalan ketek
lorong,jalan sampik
lorong,lorong
loteng,lenggek ateh
loteng,loteng
loteng,pagu
loyalitas,kapatuahan
loyalitas,kasatiaan
loyalitas,kataatan
ltu,iten
ltu,itu
ltu,sinan
ltu,tu
luar,lua
luar,luah
luar biasa,lua biaso
luar ruangan,lua ruangan
luas,balapeh-lapeh
luas,lapang
luas,laweh
luas,marato
luas,umum
lubang,lubang
lubuk,lubuak
lucu,lawak
lucu,lucu
lucu,lucuuh
luka,luko
lukisan,lukisan
lulusan,luluih
lulusan,tamaik
lunak,ampuak
lunak,indak pamberang
lunak,saba
lupa,lupo
lupa,ndak takana
lupakan,lupaan
lupakan,lupoan
lupakan,lupokan
lusa,adang bisuak
lusa,luso
lusin,losin
"maadoki apo sajo""",
maaf,ampun
maaf,maaf
maaf,maap
maaf,mo'o
maaf,moo
maaf,mooh
maafkan,ampun
maafkan,ampunkan
maafkan,maaf'an
maafkan,maapkan
maafkan,mo oan
maafkan,moohkan
maafkan,mookan
mabuk,mabuak
mabuk,mabuok
mabuk,teler
macam,aneka
macam,bantuak
macam,macam
macam,mode
macam,takah
madu,madu
magang,calon pegawai
magang,magang
mahasiswa,mahasiswa
mahasiswa,murik sikola tinggi
mahkota,gala urang takamuko
mahkota,kuaso
mahkota,makota
mahkota,mangkuto
main ski,main es
mainan,mainan
majalah,majalah
majikan,induak samang
majikan,pangusao
maju,kamuko
maju,kemuko
maju,maju
maju,muko
maka,mako
maka,makonyo
maka,mangko
makan,makan
makan,"makan, manyungkah"
makan malam,makan malam
makan siang,makan siang
makanan,makanan
makanan,pamakanan
makhluk,makaluak
makin,makin
makna,arati
makna,mukasuik
maksimum,paliang banyak
maksimum,paliang tinggi
maksimum,sabanyak-banyaknyo
maksimum,setinggi-tingginyo
maksud,makasud
maksud,makasuik
maksud,makasuiknyo
maksud,maksud
maksud,maksuik
maksud,"masuik, mukasuik"
maksud,mukasuik
maksudnya,magsuik
maksudnya,makasuiknyo
maksudnya,makosuiknyo
maksudnya,maksudnyo
maksudnya,maksuiknyo
maksudnya,"masuiknyo, mukasuiknyo"
maksudnya,mukasuiknyo
malah,bahkan
malah,malah
malam,malam
malam ini,malam iko
malas,maleh
malu,malu
malu,malua
malu,sagan
mama,amak
mama,bundo
mama,mande
mama,mandeh
mama,mandek
mama,omak
mampu,dapek
mampu,kayo
mampu,mampu
mampu,sangguik
mampu,sanggup
mampu,takao
mampu,talok
mampu,"talok, mampu"
manajer,maatua karajo
manajer,manajer
manajer,pambuek rancana
manajer,urang nan bakuaso
mandi,babasuh
mandi,mandi
mandi,mandiah
manfaat,mupaaik
mangkuk,mangkuak
mangsa,makanan
manis,manih
mantan,bakeh
mantel,mantel
mantra,paucapan
manusia,manusia
marah,bangi
marah,bangih
marah,berang
marah,"berang, bangih"
marah,sirah
maret,maret
margasatwa,margasatwa
mari,ayok
mari,kamari
mari,kasiko
mari,maghi
mari,mari
mari,moh
mari,molah
mari,siko
mari,sila
markas,marakaih
markas,pusek
martabat,arago diri
martabat,martabaik
masa,maso
masa bodo,tasarah
masa depan,maso depan
masa kecil,maso ketek
masalah,masaalah
masalah,masalah
masalahnya,masalahnyo
masalahnya,pamasalahnyo
masih,lai
masih,lai ado
masih,masi
masih,masiah
masih,masieh
masih,masih
masker,masker
masuk,masuak
masuk,masuok
masuk akal,masuak di aka
masukan,masuakan
masuklah,masuaklah
masyarakat,masarakaik
mata,mato
mata uang,mato pitih
mata uang,mato uang
matahari,matoari
matematika,matematika
material,bahan bangunan
mati,mampuih
mati,maningga
mati,mati
mati,mauik
matikan,bunuoh
matikan,mati an
matikan,mati'an
matikan,matian
matikan,matiin
maukah,amau ang
maukah,amuahkan
maukah,lai amuah
maukah,lai nio
maukah,namuah
maukah,namuahkah
maukah,namuohkah
maukah,nio
maukah,nio indak
maukah,niokah
maukah,nioko
mayat,bangkai
mayat,maik
mayor,mayua
mebel,mebel
medali,madali
medan,lingkuangan
medan,medan
medan,ruang lingkuik
media,aiaik komunikasi
media,media
media,parantaro
media,paubuang
medium,medium
megah,bangga
megah,megah
meja,meja
meja tulis,meja tulih
mekanik,ahli masin
mekanik,pandai masin
melakukan,karajoan
melakukan,lakuan
melakukan,malakuan
melakukan,malakukan
melakukan,mambuek
melakukan,mambuekan
melakukan,mangarajoan
melakukan,mangarajokan
melakukan,mangarojoan
melakukan,membuek
melakukannya, siaberbuek
melakukannya,dikarajoan nyo
melakukannya,malakuan
melakukannya,malakuannyo
melakukannya,malakukannyo
melakukannya,mambueknyo
melakukannya,mangarajoan
melakukannya,mangarajoannyo
melakukannya,mangarajoanyo
melakukannya,mangarajokan
melakukannya,mangarajokannyo
melakukannya,melakuan
melalui,lewat
melalui,malalui
melalui,melalui
melampirkan,malampian
melanggar,malangga
melanggar,melangga
melarikan,malari'an
melarikan,malarian
melarikan,malarikan
melarikan diri,malarian diri
melatih,malatiah
melawan,malawan
melawan,mangarengkang
melawan,ngarengkang
meledak,maladak
meledak,malantuang
meledak,malatui
meledak,malatuih
meledak,maledak
meledak,malodak
meledak,mengambuo
melemparkan,malempa
melepaskan,malapean
melepaskan,malapeh'an
melepaskan,malapehan
melepaskan,malapehkan
melepaskan,melapehkan
melepaskan,melopean
melewati,lalui
melewati,malalui
melewati,malewaikti
melewati,malewati
melewati,maliwaik
melewati,melinteh
melewati,talampau
melihat,maliek
melihat,mancaliak
melihat,"mancaliak, maliek"
melihat,mancaliek
melihat,manengok
melihat,mencaliak
melihatnya,malieknyo
melihatnya,mancaliak
melihatnya,mancaliaknyo
melihatnya,mancaliek nyo
melihatnya,melieknyo
melihatnya,mencaliaknyo
melindungi,malinduangi
melindungi,malindungi
melindungi,manjago
melindungi,menaungi
melipat,malipek
melompat,malompaik
melompat,malompek
melompat,malopeik
melompat,malumpek
melompat,melompek
meluncur,maluncua
melupakan,malupaan
melupakan,malupo'an
melupakan,malupoan
melupakan,malupokan
melupakan,melupoan
memahami,mamahami
memahami,mangarati
memahami,mangaratih
memahami,memahami
memakai,mamakai
memakai,manggunoan
memakan,mamakan
memakan,pangan
memaksakan,memaksokan
memalukan,buekmalu
memalukan,mamaluan
memalukan,mamalukan
memalukan,mambuek malu
memang,emang
memang,memang
memanggil,maimbau
memanggil,mamanggi
memanggil,mamanggia
memanggil,mamanggiah
memanggil,mamanggie
memanggil,mamanggiu
memanggil,mangimbau
memanggil,meng imbau
memar,ama
memastikan,mamasti'an
memastikan,mamastian
memastikan,mamastikan
memastikan,memastian
mematikan,mamati'an
mematikan,mamatian
mematikan,mamatikan
mematikan,mambunuah
mematuhi,mamatuhi
membaca,mambaco
membaca,membaco
membahayakan,membahayoan
membangun,mambangun
membangun,mambuek
membangun,manjago
membantu,mambantu
membantu,"mambantu, manolong"
membantu,manolong
membantumu,mambantu ang
membantumu,mambantu waang
membantumu,mambantu'ang
membantumu,mambantu-ang
membantumu,mambantua ang
membantumu,manolong
membantumu,manolong ang
membantumu,manolong waang
membantumu,manolongang
membantumu,manolongannyo
membantumu,manolongmu
membawa,.membaok
membawa,mambao
membawa,mambaok
membawa,mambawo
membawa,mambawok
membawa,mambowok
membawanya,mambaoknyo
membawanya,mambaonyo
membawanya,mambawoknyo
membawanya,mambawonyo
membawanya,membawok
membayar,mambaia
membayar,mambaya
membayar,mambaye
membayar,mambayia
membayar,mambayie
membayar,mambayuai
membayar,membanyie
membekukan,mambakuan
membeli,mambali
membeli,mamboli
membeli,membali
memberhentikan,mambarantian
memberi,agi
memberi,agiah
memberi,maagiah
memberi,mambagi
memberi,mambari
memberi,mangagiah
memberi,mangagieh
memberi,mengagih
memberikan,ma agiah
memberikan,maagiah
memberikan,maagiah'an
memberikan,maagiahan
memberikan,maagiahkan
memberikan,mambari
memberikan,mambarian
memberikan,mambarikan
memberikan,mangagiahkan
memberikan,mangagieh
memberikan,mengagean
memberikan,mengagih
memberinya,ma'agiahnyo
memberinya,maagiah
memberinya,maagiahnyo
memberinya,maaginyo
memberinya,mambarinyo
memberinya,mangagiehnyo
memberinya,mangagih nyo
memberinya,mengagiahnyo
memberinya,mengagieh
memberinya,mengagihnyo
memberitahu,agihtau
memberitahu,agitau
memberitahu,maagiah tahu
memberitahu,maagiah tau
memberitahu,maagiahtahu
memberitahu,maagiahtau
memberitahu,maagiatahu
memberitahu,maagiatau
memberitahu,mambaritahu
memberitahu,mambaritau
memberitahu,mangabakan
memberitahu,manyabuikkan
memberitahu,mengagihtahu
membersihkan,mambarasiah'an
membersihkan,mambarasiahan
membersihkan,mambarasiahkan
membersihkan,mambarasiehkan
membersihkan,mambarasihan
membersihkan,mambarasihkan
membersihkan,membarasiin
membiarkan,biala
membiarkan,bialah
membiarkan,dipabiakan
membiarkan,mambia an
membiarkan,mambiaan
membiarkan,mambiakan
membiarkan,mambuliahan
membiarkan,membia kan
membiarkan,padia'an
membiarkan,padiahaan
membiarkan,padiase
membicarakan,barundiong
membicarakan,mambicaroan
membicarakan,mampakecekan
membicarakan,mampakecekkan
membicarakan,mangecean
membicarakan,mangecek'an
membicarakan,mangecekan
membicarakan,mangecekkan
membicarakan,manyabuikkan
membicarakan,mengecekkan
membingungkan,mambinguang an
membosankan,mambosankan
membuang,malempa
membuang,mambuang
membuang,manyampak'an
membuang,mencampaan
membuang,menyampakkan
membuat,mambuek
membuat,membuek
membuatnya,mambueknyo
membuatnya,membueknyo
membuatnya,mengarajokan
membuka,mambukak
membuka,mambuko
membuktikan,mambuktian
membuktikan,mambuktikan
membuktikan,mambutian
membungkus,mambungkuih
membunuh,mambunuah
membunuh,mambunuh
membunuhmu,mambunuah
membunuhmu,mambunuah ang
membunuhmu,mambunuah'ang
membunuhmu,mambunuah-ang
membunuhmu,mambunuahmu
membunuhmu,mambunuahnyo
membunuhmu,mambunuh kau
membunuhmu,manbunuah ang
membunuhnya,mambunuah nyo
membunuhnya,mambunuahnyo
membunuhnya,mambunuhnyo
membunuhnya,membunuhnyo
membutuhkan,mambutuahan
membutuhkan,mambutuahkan
membutuhkan,mambutuan
membutuhkan,mambutuhkan
membutuhkan,mambutuohkan
membutuhkan,membutuan
membutuhkan,paralu
membutuhkan,paraluan
memegang,mamaciak
memegang,mamaciek
memegang,mamacik
memegang,mamagang
memegang,mamegang
memenangkan,juaro
memenangkan,mamanagkan
memenangkan,mamanang'an
memenangkan,mamanangan
memenangkan,mamanangkan
memenangkan,manangkan
memenuhi syarat,mamanuhi syarat
memeriksa,mamareso
memeriksa,mamarikso
memeriksa,mamariso
memesan,mamasan
memikirkan,mamikiaan
memikirkan,mamikiakan
memikirkan,mamikian
memikirkan,mamikiekan
memikirkan,mamikirkan
memilih,mamiliah
memilih,mamilieh
memilih,mamilih
memiliki,mamiliaki
memiliki,mamiliki
memiliki,mampunyo
memiliki,mampunyoi
memiliki,nandak
memiliki,punyo
memiliki,punyo den
memilikinya,mamiliakinyo
memilikinya,mamilikinyo
memilikinya,mampunyoi
memilikinya,mampunyoinyo
memilikinya,"mampunyoinyo, mamilikinyo"
memimpin,mamimpin
memindai,mamindai
meminjamkan,maminjaman
meminta,maminta
meminta,mamintak
meminta,maminto
memo,surek parnyataan
memodifikasi,mamodif
memori,ingatan
memori,panganan
memori,pikiran
memotong,mamotoang
memotong,mamotong
memotong,mangarek
mempekerjakan,mampakarajoan
memperbaiki,maelok'an
memperbaiki,maelokan
memperbaiki,mambaik an
memperbaiki,mameloak'an
memperbaiki,mamelokan
memperbaiki,mamelokkan
memperbaiki,mampabaiki
memperbaiki,mampaelok
memperbaiki,mampaelokan
memperbaiki,mampelokan
memperdebatkan,memperdebatkan
memperingatkan,mamparingai an
memperlakukan,mampalakuan
mempunyai,bapunyo
mempunyai,mampunyai
mempunyai,mampunyoi
mempunyai,mampuyoi
mempunyai,punyo
memuji,mamuji
memukul,bagageh
memukul,lapak
memukul,malapiah
memukul,mambae
memukul,mamukua
memukul,mamukuo
memukul,manokok
memulai,mamula'i
memulai,mamulai
memulai,mancubo
memulihkan,mamulihan
memutuskan,mamutuihan
memutuskan,mamutuihkan
memutuskan,mamutuikan
menahan,manahan
menahan,menahan
menakjubkan,manakjub an
menakjubkan,manakjuban
menakjubkan,manakjubkan
menakjubkan,mancangangkan
menakjubkan,menabjubkan
menakjubkan,menakjubkan
menakjubkan,tacangang
menakjubkan,takjub
menakuti,manakuti
menakutkan,manakuik an
menakutkan,manakuik'an
menakutkan,manakuikan
menakutkan,manakuikkan
menakutkan,salasai an
menambahkan,manambahkan
menandai,manandoan
menang,juaro
menang,manang
menang,monang
menangani,manangani
menangani,manangoni
menangani,menangani
menangani,turun tangan
menangis,manangi
menangis,manangih
menangis,maratok
menangis,menangih
menangkap,cokau
menangkap,manangkok
menangkap,menangkok
menangkapnya,manangkoknyo
menangkapnya,menangkok
menangkapnya,menangkoknyo
menara,manaro
menara,mindaro
menari,malenggok
menari,manari
menarik,maelo
menarik,mamikek
menarik,manariak
menarik,manarik
menarik,rancak
mencapai,ancapai
mencapai,mancapai
mencari,mancari
mencarinya,mancarinyo
mencarinya,mencarinyo
menceritakan,mancaritoan
menceritakan,mancaritokan
mencintai,mancintoi
mencintai,menyayangi
mencintaimu,mancintoi
mencintaimu,mancintoi ang
mencintaimu,mancintoi waang
mencintaimu,mancintoi'ang
mencintaimu,mancintoi-ang
mencintaimu,mancintoimu
mencintaimu,mancintoinyo
mencintaimu,manyanyangi mu
mencintaimu,mencintoi ang
menciptakan,mambuek
menciptakan,mambuekkan
menciptakan,manciptaan
menciptakan,manciptakan
menciptakan,mancipto'an
menciptakan,manciptoan
menciptakan,manciptokan
menciptakan,membuean
menciptakan,menciptokan
mencium,mambau
mencium,mambaun
mencium,mancium
mencoba,mancubo
mencuri,maliang
mencuri,mancilok
mencuri,mancuri
mencuri,memaliang
mencuri,mencilok
mendadak,mandadak
mendapat,mandapek
mendapat,mendapek
mendapatkan,mandapek
mendapatkan,mandapek an
mendapatkan,mandapek'an
mendapatkan,mandapekan
mendapatkan,mandapekkan
mendapatkan,mendapean
mendapatkan,mendapek
mendapatkannya,mandapek annyo
mendapatkannya,mandapek'annyo
mendapatkannya,mandapekan nyo
mendapatkannya,mandapekannyo
mendapatkannya,mandapekanyo
mendapatkannya,mandapekkan
mendapatkannya,mandapekkan nyo
mendapatkannya,mandapekkannyo
mendapatkannya,mendapatkannya
mendapatkannya,mendapek 
mendapatkannya,mendapek an
mendasar,mandasa
mendasarkan,mandasakan
mendemonstrasikan,mandemostrasian
mendengar,mandanga
mendengar,mandango
mendengar,mendanga
mendengar,tadanga
mendengarkan,madangaan
mendengarkan,mandangaan
mendengarkan,mandangakan
mendengarkan,mandonga
mendengarkan,mendongakan
mendengarnya,mandaganyo
mendengarnya,mandanga
mendengarnya,mandangaannyo
mendengarnya,mandanganyo
mendengarnya,mendanganyo
mendengarnya,mendonganyo
menderita,malaraik
menderita,mandarito
menderita,marano
menderita,marasai
menderita,sangsaro
menderita,taseso
mendistribusikan,mandistribusian
menelepon,manalepon
menelepon,manelepon
menelepon,manelpon
menemani,manggawankan
menembak,manembak
menempatkan,malatakkan
menempatkan,manampek'an
menempatkan,manampekan
menempatkan,manampekkan
menempatkan,manapekan
menempatkan,manompekan
menempatkan,menampek an
menemui,basobok
menemui,basuo
menemui,manamui
menemui,manemui
menemui,tasobok
menemukan,basabok
menemukan,basobok
menemukan,basuak
menemukan,basuo
menemukan,dapek
menemukan,manamuan
menemukan,manamukan
menemukan,mandapekan
menemukan,"mandobokan, manamuan"
menemukan,manjumpokan
menemukan,manomuan
menemukan,manyobok'an
menemukan,mendapekan
menemukan,menjumpoi
menemukan,mondapek
menemukannya,basobok
menemukannya,basuo
menemukannya,basuonyo
menemukannya,manamuaannyo
menemukannya,manamuan nyo
menemukannya,manamuannyo
menemukannya,manamuinyo
menemukannya,manamukannyo
menemukannya,manamukanyo
menemukannya,mandapekannyo
menemukannya,mandapekkan
menemukannya,menemukannyo
menenangkan,manonangkan
menentang,manantang
menerima,manarimo
mengabaikan,mambia an
mengagumkan,ancaknyo
mengagumkan,mambuek bangga
mengagumkan,manakjubkan
mengagumkan,mancangang kan
mengagumkan,mangaggumkan
mengagumkan,mangaguman
mengagumkan,mangagumkan
mengagumkan,menajubkan
mengakses,maakses
mengalahkan,mangalah
mengalahkan,mangalah'an
mengalahkan,mangalahan
mengalahkan,mangalahkan
mengalami,mangalami
mengalami,marasoan
mengalami,marasokan
mengalami,merasoaan
mengamati,mangamati
mengambil,ma ambiak
mengambil,maambiak
mengambil,mambiak
mengambil,mangambiak
mengambil,mangambiek
mengambil,mengambiok
mengambil,merampeh
mengambil waktu,ma ambiak waktu
mengambilnya,maambiaknyo
mengambilnya,mambiaknyo
mengambilnya,mangambiaknyo
mengambilnya,mangambieknyo
mengambilnya,mangambilnyo
mengambilnya,mengambean nyo
mengambilnya,mengambiaknyo
menganalisa,manganalisis
mengapa,abek
mengapa,ma nga
mengapa,manga
mengapa,mangapo
mengapa,ngapo
mengapung,mangapuahg
mengatakan,mangatoan
mengatakan,mangatokan
mengatakan,mangecek
mengatakan,mangecek an
mengatakan,mangecek'an
mengatakan,mangecekan
mengatakan,mangotoan
mengatakan,mengecek
mengatakan,mengecek'an
mengatakan,mengecekan
mengatakannya,mangatoannyo
mengatakannya,mangatokan
mengatakannya,mangatokannnyo
mengatakannya,mangatokannyo
mengatakannya,mangatokanyo
mengatakannya,mangecean
mengatakannya,mangecek'annyo
mengatakannya,mangecekannyo
mengatakannya,mangecekkannyo
mengatakannya,mangotoan
mengatakannya,mengeceknyo
mengatur,ma atua
mengatur,maatua
mengatur,manato
mengatur,mangatua
mengatur,mangatuah
mengatur,mangatur
mengawasi,maawasi
mengawasi,maintai
mengawasi,mangawasi
mengawasi,manjago
mengecewakan,mangacewakan
mengedit,mangedit
mengeja,mangeja
mengejar,mangaja
mengejar,mangajah
mengejar,mengaja
mengeluarkan,mangalua'an
mengeluarkan,mangaluaan
mengeluarkan,mangaluakan
mengeluarkan,mangaluan
mengeluarkan,mangaluaran
mengemis,mangemis
mengenai,kanai
mengenai,manganai
mengenai,mangonoi
mengenai,mengonai
mengenai,tantang
mengenai,tantang 'a
mengenakan,malakekkan
mengenal,bakatauan
mengenal,mangana
mengenal,mangenal
mengenal,mengenal
mengenal,pohom
mengenali,mengenali
mengendalikan,mangandali'an
mengendalikan,mangandalian
mengendalikan,mangandalikan
mengendalikan,mangendalian
mengendalikan,mengendalikan
mengendarai,mambaok
mengerikan,manakuikan
mengerikan,manakuikkan
mengerikan,mangarihan
mengerikan,mangarikan
mengerikan,mangerian
mengerikan,mangerikan
mengerikan,mangorikan
mengerikan,menakuikkan
mengerti,mangarati
mengerti,mangaroti
mengerti,mengarati
mengerti,ngarati
mengerti,ngorti
mengetahui,alahtau
mengetahui,bakatauan
mengetahui,lah tau
mengetahui,mangarati
mengetahui,mangatahui
mengetahui,mangataui
mengetahui,maobekan
mengetahui,tantu
mengetahui,tontu
mengetahuinya,mangatahui
mengetahuinya,mangatahuinyo
mengetahuinya,mangatauinyo
mengetahuinya,mengetahuinya
mengetahuinya,mengetahuinyo
mengetahuinya,mengetauinyo
mengganggu,manganggu
mengganggu,manggaduah
mengganggu,manggaduh
mengganggu,mangganggu
mengganggu,menyusah
menggosok,manggosok
menggunakan,mamakai
menggunakan,manggonakan
menggunakan,manggunaan
menggunakan,manggunoan
menggunakan,manggunokan
menggunakan,paginoan
menggunakan,pagunokan
menghabiskan,ma'abihan
menghabiskan,maabiahan
menghabiskan,maabian
menghabiskan,maabihan 
menghabiskan,maabihhan
menghabiskan,maabihkan
menghabiskan,mahabihan
menghabiskan,mahabihkan
menghabiskan,manandehkan
menghabiskan,mangabian
menghabiskan,mangabiehkan
menghabiskan,mangabihan
menghabiskan,mangabihkan
menghabiskan,manghabihan
menghabiskan,menghabihkan
menghadapi,maadoi
menghadapi,maadok i
menghadapi,mahadoki
menghadapi,mangadok
menghadapi,mangadoki
menghadapi,manghadapi
menghadapi,manghadoki
menghadapi,manghadopi
menghadapi,menghadopi
menghadiahkan,mahadiahkan
menghancurkan,bahancuran
menghancurkan,maancua'an
menghancurkan,maancuaan
menghancurkan,mahancuaan
menghancurkan,mahancuakan
menghancurkan,mahancuan
menghancurkan,mahancurkan
menghancurkan,malenyaikan
menghancurkan,mancuan
menghancurkan,manghancu an
menghancurkan,manghancuan
menghancurkan,marusakkan
menghancurkan,menghancuokan
menghapus,mahapus
mengharapkan,maharokkan
menghargai,maharagoi
menghargai,maharogoi
menghargai,mangharagoi
menghargai,manghargai
menghargai,manghargoi
menghargai,mangharogoi
menghentikan,ma'antian
menghentikan,maantian
menghentikan,mahantian
menghentikan,mambarantian
menghentikan,mambarantikan
menghentikan,mamparantikan
menghentikan,mangantian
menghentikan,manghantian
menghentikan,manghantikan
menghentikan,mensetop
menghentikannya,baranti tagak
menghentikannya,ma'antiannyo
menghentikannya,maantiannyo
menghentikannya,mahantiannyo
menghentikannya,mahantianyo
menghentikannya,mambarantikannyo
menghentikannya,mamparantikan
menghentikannya,mangantian
menghentikannya,mangantiannyo
menghentikannya,mangantikan
menghentikannya,manghantian
menghentikannya,manghantiannyo
menghentikannya,manghantikannyo
menghentikannya,menghentikannyo
mengherankan,maherankan
menghias,mahias
menghilang,mahilang
menghilang,mailang
menghilang,manghilang
menghilang,mangilang
menghitung,manghituang
menghubung,manghubung
menghubungi,mahubungi
menghubungi,manghubuangi
menghubungi,manghubungi
menghubungi,mangubungi
menghubungi,maubungi
menghukum,mahukum
mengiklankan,mangiklanan
mengikuti,maikui
